,href,Date,City,State,Country,Shape,Summary,Reported,Media,Explanation
52,https://nuforc.org//sighting/?id=180589,02/24/2024 10:30,Great Hallingbury,England,United Kingdom,Cigar,UFO looked like a huge elongated wing seen edge on. It was hovering about 2 km from my location. It then abruptly vanished.,,,
53,https://nuforc.org//sighting/?id=180503,02/19/2024 21:15,Hilliard,FL,USA,Light,"While operating an aircraft in cruise at FL400, the crew observed 3 lights appearing and disappearing for approximately 1 hr 25 min.",,,
54,https://nuforc.org//sighting/?id=180505,02/18/2024 16:33,Mesa,AZ,USA,Triangle,One triangular shaped craft hovering over area doing aerobatics in daytime,,Y,
55,https://nuforc.org//sighting/?id=180471,02/17/2024 20:43,Rockford,IL,USA,Light,Triangle formation of lights with other lights making passes through and around the formation,,Y,
56,https://nuforc.org//sighting/?id=180458,02/16/2024 21:15,Pittsburgh,PA,USA,Light,8 Lights Moving in counter clockwise pattern with other lights making passes through and below the formation,,Y,
57,https://nuforc.org//sighting/?id=180940,02/16/2024 19:04,Fayetteville,NC,USA,Triangle,Large acre plus-sized triangular craft traveling approx 32000 feet.,,Y,
58,https://nuforc.org//sighting/?id=180611,02/10/2024 06:09,,Rio Grande do Sul,Brazil,Disk,Sighting of lights throughout the entire night with direct sighting of the ship in the shape of a flying saucer at dawn.,,,
59,https://nuforc.org//sighting/?id=180315,02/06/2024 13:33,Brandon,MS,USA,Teardrop,Silver UAP at approximately 5000ft the swims through the sky in an organic matter way with exhaust trail at faster than speed of sound,,Y,
60,https://nuforc.org//sighting/?id=180467,02/06/2024 03:30,Stockbridge,GA,USA,Cigar,"Approximately 330AM in a NNE sky, a cigar shaped object traveled around the Dubhe star in the Big Dipper.",,,
61,https://nuforc.org//sighting/?id=180305,02/05/2024 22:32,Hoquiam,WA,USA,Light,Light moving erratically,,Y,
62,https://nuforc.org//sighting/?id=180290,02/05/2024 04:55,Omaha,NE,USA,Light,"Flying to the East at 39,000 saw 6 UFO's at diff speeds, altitudes (btn 50, and 80 thousand feet) for ~ 1 hr",,Y,
63,https://nuforc.org//sighting/?id=180264,02/01/2024 22:00,Elleker,Western Australia,Australia,Other,"Banana shaped UFO yellow lights down side, with blue halo. Hovering moving slightly side to side. Halo flashed like surrounding orb.",,,
